V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,binaryClass
785.0,?,?,?,0,5,1.73839e+17,1.87389e+17,?,?,?,2.68774e+17,2.87904e+17,2.97527e+17,3.22817e+17,3.25834e+17,3.48399e+17,3.76133e+17,3.84428e+17,10.0,253.0,?,0
684.0,?,?,?,4,11,1.68593e+17,1.87389e+17,?,?,?,2.68774e+17,2.87904e+17,2.97527e+17,3.22817e+17,3.24295e+17,3.44177e+17,3.76133e+17,3.94148e+17,12.0,15.0,?,1
262.0,1986.0,401.0,41.0,16,19,1.68617e+17,1.95989e+17,2.12e+17,2.24e+17,2.44e+17,2.67213e+17,2.72354e+17,2.94356e+17,3.22817e+17,3.31494e+17,3.58119e+17,3.76133e+17,3.84428e+17,92.0,39.0,?,1
139.0,1980.0,21.0,1.0,27,43,1.71214e+17,1.95989e+17,2.01e+17,2.26e+17,2.45e+17,2.60333e+17,2.83435e+17,3.04076e+17,3.22817e+17,3.40568e+17,3.48399e+17,3.66413e+17,3.84428e+17,303.0,314.0,?,1
193.0,1980.0,?,?,3,17,1.79397e+17,1.95989e+17,2.08e+17,?,2.45e+17,2.68774e+17,2.83435e+17,3.04076e+17,3.22817e+17,3.24956e+17,3.58119e+17,3.66413e+17,3.84428e+17,12.0,379.0,?,1
271.0,1983.0,465.0,95.0,16,32,1.79734e+17,1.95989e+17,2.09e+17,2.18e+17,2.45e+17,2.53935e+17,2.71445e+17,2.94356e+17,3.22817e+17,3.40434e+17,3.58846e+17,3.76861e+17,3.94875e+17,45.0,?,?,1
398.0,1980.0,73.0,7.0,1,15,1.65255e+17,1.95989e+17,2.11e+17,2.17e+17,2.4e+17,2.64229e+17,2.83435e+17,3.04076e+17,3.22817e+17,3.27473e+17,3.48399e+17,3.76133e+17,3.94148e+17,193.0,170.0,?,1
251.0,1986.0,491.0,110.0,2,4,1.69417e+17,1.95989e+17,2.04e+17,2.22e+17,2.45e+17,2.67374e+17,2.72354e+17,2.94356e+17,3.22817e+17,3.32745e+17,3.58119e+17,3.76133e+17,3.84428e+17,41.0,8.0,?,1
246.0,1986.0,2869.0,122.0,0,4,1.7028e+17,1.95989e+17,2.1e+17,2.23e+17,2.44e+17,2.52969e+17,2.72354e+17,2.94356e+17,3.22817e+17,3.30684e+17,3.44177e+17,3.76133e+17,3.94148e+17,56.0,42.0,4.06e+17,1
392.0,1970.0,38.0,1.0,6,19,1.67156e+17,1.95989e+17,2e+17,2.33e+17,2.38e+17,2.61231e+17,2.79437e+17,3.04076e+17,3.22817e+17,3.38902e+17,3.58119e+17,3.66413e+17,3.84428e+17,267.0,28.0,?,1
261.0,1986.0,?,?,5,9,1.66338e+17,1.95989e+17,2.12e+17,?,2.41e+17,2.68774e+17,2.72354e+17,2.94356e+17,3.22817e+17,3.27921e+17,3.58119e+17,3.66413e+17,3.84428e+17,16.0,441.0,?,1
